latitude,longitude,n
33.9562,-83.988,648
34.0515,-84.0713,649
36.2946,-76.2511,650
44.5645,-123.262,651
37.6088,-77.3733,652
36.3007,-119.7829,653
36.0726,-79.7919,654
34.1397,-118.3507,655
32.4207,-104.2288,656
27.1976,-80.2528,657
32.0486,-111.2853,658
26.4615,-80.0728,659
39.8815,-83.093,660
45.7777,-84.7298,661
26.1948,-98.1836,662
41.6362,-70.9342,663
39.8403,-88.9548,664
40.5159,-75.5552,665
33.6848,-117.8266,666
40.714,-73.559,667
33.8581,-118.3789,668
40.1783,-122.2361,669
43.1133,-87.9001,670
38.4221,-77.4083,671
34.1416,-118.1502,672
40.1934,-85.3864,673
45.45,-94.4333,674
26.6735,-81.6631,675
37.9592,-121.2978,676
25.8582,-80.2776,677
33.3807,-84.7997,678
42.0411,-87.6901,679
41.5095,-90.5788,680
30.3674,-89.0928,681
35.4108,-80.8429,682
41.4731,-87.0611,683
25.986,-80.304,684
38.1749,-122.2608,685
31.4887,-111.542,686
32.7948,-116.9625,687
41.9426,-87.7378,688
41.7001,-71.4162,689
38.589,-121.3027,690
42.4501,-73.2454,691
34.0743,-118.3982,692
43.025,-108.3801,693
26.2394,-80.1251,694
36.069,-79.4006,695
42.1945,-71.8356,696
41.0262,-73.6282,697
39.1163,-94.6274,698
33.4473,-84.1469,699
32.6401,-117.0842,700
42.3672,-72.5185,701
37.4138,-79.1423,702
36.0957,-79.4378,703
46.4425,-95.1361,704
40.7183,-122.4196,705
37.3868,-120.7235,706
38.8802,-77.1063,707
42.4182,-71.1055,708
33.5017,-117.6626,709
33.5834,-86.7727,710
38.8965,-121.0774,711
39.4562,-77.9639,712
42.563,-114.4609,713
42.095,-87.9808,714
47.4941,-122.63,715
32.7218,-84.0132,716
37.6869,-97.3309,717
36.8468,-76.2852,718
26.705,-80.0373,719
38.0193,-122.1353,720
37.4851,-122.2361,721
33.7699,-118.2031,722
33.8306,-116.5471,723
34.1425,-118.255,724
29.0225,-81.2864,725
44.6365,-123.1059,726
35.1036,-98.6036,727
36.8354,-76.2983,728
48.2325,-101.2962,729
34.6866,-118.1536,730
33.3487,-87.0142,731
39.9626,-76.7277,732
33.1959,-117.3795,733
40.7358,-74.1728,734
35.684,-82.0093,735
32.8546,-79.9748,736
42.0189,-87.8028,737
42.4806,-83.4755,738
40.2806,-124.3514,739
33.4934,-117.1483,740
32.9628,-117.0359,741
38.8455,-77.316,742
20.8894,-156.4734,743
33.836,-79.0478,744
43.6129,-116.3912,745
46.5463,-87.4066,746
41.8875,-88.3054,747
46.7615,-94.9749,748
31.5493,-97.1467,749
41.4953,-87.3166,750
26.0031,-80.2239,751
38.5889,-89.9904,752
26.5629,-81.9495,753
33.9304,-84.3733,754
25.7587,-80.3984,755
42.0548,-72.7703,756
33.471,-81.9748,757
34.2803,-119.2946,758
35.9101,-79.0753,759
36.1988,-115.1175,760
42.0342,-91.5977,761
30.1105,-97.3153,762
37.9254,-122.5274,763
38.2953,-76.6381,764
42.2459,-84.4014,765
42.2142,-83.1499,766
30.628,-96.3344,767
29.1878,-82.1306,768
40.2987,-83.068,769
41.4489,-82.708,770
26.1406,-80.2143,771
26.4489,-82.0223,772
27.273,-80.3582,773
31.8135,-106.4122,774
33.3062,-111.8412,775
47.0506,-122.7729,776
35.2829,-120.6595,777
34.1477,-119.1951,778
45.1,-87.6307,779
41.6662,-81.3396,780
33.5539,-117.2139,781
42.1945,-122.7094,782
38.2776,-85.7372,783
38.8719,-77.2298,784
33.8316,-118.2817,785
25.9087,-80.3087,786
32.8987,-96.9722,787
29.5845,-81.2079,788
30.964,-81.7242,789
35.5085,-78.3395,790
46.7921,-94.9483,791
42.7845,-87.7663,792
39.1653,-86.5264,793
36.0165,-114.7388,794
30.2131,-93.2044,795
35.7331,-81.3412,796
45.6796,-111.0385,797
44.2726,-121.1739,798
40.4167,-86.8753,799
39.2721,-76.7316,800
38.1041,-122.2566,801
37.6941,-122.0863,802
28.6611,-81.3656,803
26.1422,-81.7942,804
33.884,-84.5144,805
44.3731,-71.61,806
43.0835,-73.7844,807
34.5326,-83.9849,808
46.4478,-120.4204,809
29.8851,-93.9423,810
44.2828,-105.5053,811
40.8043,-74.0127,812
40.7545,-86.3567,813
41.4537,-72.8194,814
31.8457,-102.3676,815
38.7003,-90.1493,816
28.0345,-80.5887,817
26.7542,-80.9337,818
29.6478,-81.6514,819
26.9762,-82.0906,820
25.7548,-80.3272,821
29.7057,-95.4588,822
42.9135,-85.7053,823
36.5298,-87.3595,824
28.0408,-81.9477,825
39.3635,-123.8158,826
31.1799,-83.7891,827
38.4496,-78.8689,828
42.4612,-71.3485,829
26.1878,-81.695,830
21.9812,-159.3721,831
39.785,-85.7694,832
30.1766,-85.8049,833
45.3657,-122.6123,834
36.0862,-93.7413,835
37.1056,-80.6853,836
45.0105,-93.4555,837
46.4514,-92.7667,838
40.6084,-75.4902,839
35.2627,-77.5816,840
40.2303,-104.0733,841
33.7213,-116.3741,842
33.1597,-117.3389,843
43.0718,-70.7626,844
42.097,-79.2353,845
40.1097,-88.2042,846
34.9676,-82.4435,847
37.2082,-76.7741,848
32.3527,-90.8779,849
21.4359,-158.1849,850
41.682,-85.9767,851
39.8028,-105.0875,852
41.7714,-88.6406,853
38.0324,-78.8392,854
41.12,-87.8612,855
35.9557,-80.0053,856
43.0387,-76.073,857
41.7256,-87.8253,858
34.6092,-112.3163,859
35.8456,-86.3903,860
39.1157,-77.5636,861
33.9022,-118.0817,862
41.9295,-88.7504,863
38.8487,-76.9239,864
33.2148,-97.1331,865
32.6859,-117.1831,866
37.9958,-122.9946,867
45.4647,-98.4865,868
40.7302,-73.2107,869
39.4851,-80.1426,870
32.4242,-85.691,871
38.9806,-77.1002,872
40.0994,-74.9326,873
44.7764,-94.9897,874
41.939,-87.6684,875
44.9916,-93.1663,876
35.071,-91.8803,877
42.6334,-71.3162,878
39.9339,-74.8911,879
40.4384,-79.8431,880
37.8018,-80.4456,881
42.0833,-71.0189,882
38.6957,-75.0752,883
42.5039,-71.0721,884
42.629,-85.0248,885
42.6,-114.7619,886
48.0395,-122.4088,887
40.115,-111.655,888
40.3015,-79.5389,889
27.9736,-82.7642,890
45.2113,-122.9767,891
48.2926,-122.6762,892
34.6801,-79.195,893
39.2284,-104.88720000000001,894
42.3222,-83.1764,895
38.4082,-121.3742,896
34.5037,-93.0552,897
41.2376,-80.8184,898
40.3548,-80.0513,899
37.442,-122.1448,900
34.784,-91.8999,901
47.1961,-94.9821,902
44.4654,-72.6874,903
42.6828,-89.0187,904
44.9741,-74.667,905
44.1037,-69.1089,906
36.3884,-86.4467,907
37.1413,-80.1192,908
40.0609,-75.0941,909
32.5252,-93.7502,910
44.6698,-74.9813,911
42.3765,-71.2356,912
31.3271,-89.2903,913
41.6639,-83.5552,914
43.2342,-86.2484,915
38.2021,-79.0084,916
33.458,-82.2447,917
40.622,-74.2445,918
38.0993,-87.5793,919
41.5316,-81.5819,920
40.8682,-73.4257,921
48.0133,-96.2139,922
41.922,-71.5495,923
39.4457,-123.8053,924
39.3923,-123.6489,925
25.8784,-80.1256,926
41.3102,-122.3123,927
44.2202,-68.6749,928
42.9332,-72.2797,929
34.0224,-118.1674,930
42.4878,-82.8967,931
43.0977,-79.0368,932
37.3846,-79.7312,933
42.8142,-73.9372,934
39.8493,-75.3562,935
41.8389,-89.4796,936
41.759,-70.4939,937
33.103,-96.6703,938
42.3751,-70.9867,939
47.7505,-90.3343,940
40.5762,-124.2639,941
40.4926,-74.5235,942
42.1418,-71.3967,943
35.7473,-85.4666,944
41.6763,-86.2502,945
40.8264,-74.1068,946
37.8092,-85.4669,947
31.4384,-110.0979,948
37.7259,-122.1542,949
34.9249,-81.0251,950
43.0759,-88.7742,951
40.8673,-124.0816,952
38.8792,-99.3268,953
41.2888,-72.6744,954
40.0308,-82.8756,955
33.9137,-98.4934,956
41.1128,-74.0438,957
33.9791,-118.0299,958
45.5684,-122.6183,959
37.7782,-81.1882,960
33.983,-118.0967,961
38.0045,-121.8071,962
37.1041,-113.5841,963
36.9093,-121.758,964
33.8366,-117.9143,965
42.1767,-72.5719,966
46.8484,-95.1002,967
42.3173,-85.1782,968
39.1579,-75.5245,969
44.9803,-85.2112,970
34.9745,-92.0165,971
40.5884,-73.6579,972
40.6259,-75.3704,973
31.5785,-84.1557,974
42.5879,-72.5994,975
41.4092,-75.6649,976
44.5975,-75.1711,977
35.7688,-119.2471,978
41.5572,-83.6274,979
33.1205,-117.0939,980
39.9832,-76.1841,981
46.5893,-112.0391,982
33.0198,-96.6988,983
41.7839,-72.3401,984
40.7526,-73.6104,985
40.6857,-76.1955,986
43.3789,-84.6597,987
35.6151,-87.0353,988
26.1604,-80.1389,989
26.9296,-82.0466,990
37.656,-122.4081,991
42.9376,-70.8389,992
47.2025,-121.9941,993
42.3318,-71.1212,994
29.5958,-90.7195,995
29.3701,-100.8951,996
33.5207,-86.8025,997
35.1359,-114.5286,998
30.1069,-90.9198,999
33.887,-91.4917,1000
42.3852,-88.348,1001
27.2439,-80.8214,1002
33.5604,-81.7196,1003
39.9376,-77.6611,1004
38.9789,-76.4909,1005
39.2934,-77.8594,1006
27.4469,-80.3265,1007
42.9597,-87.8615,1008
32.1574,-94.3374,1009
45.3573,-122.6068,1010
35.5941,-119.3409,1011
43.1706,-78.6903,1012
32.5093,-92.1193,1013
38.4021,-122.8239,1014
30.1883,-82.6395,1015
42.4895,-83.1447,1016
33.6411,-117.9187,1017
43.6106,-72.9726,1018
42.6425,-73.7429,1019
38.7893,-77.1872,1020
38.8942,-77.4311,1021
34.2073,-84.1402,1022
40.2969,-111.6946,1023
43.4667,-85.9483,1024
29.7335,-95.2302,1025
33.6637,-117.9937,1026
42.7736,-73.7006,1027
35.1085,-77.0441,1028
46.8739,-96.7695,1029
46.9222,-95.0586,1030
34.2284,-92.0032,1031
42.3876,-71.0995,1032
31.15,-81.4915,1033
38.5539,-121.7381,1034
41.7413,-71.3079,1035
35.6127,-77.3664,1036
47.4736,-94.8803,1037
40.9148,-74.3837,1038
41.6488,-73.7639,1039
36.9976,-79.892,1040
38.8164,-76.7533,1041
32.981,-80.0326,1042
42.9723,-85.9537,1043
41.189,-73.7831,1044
37.9735,-122.5312,1045
35.7895,-83.9738,1046
40.8107,-73.6285,1047
30.2455,-85.6483,1048
64.8377,-147.7163,1049
42.8126,-70.8773,1050
41.137,-77.4469,1051
45.0006,-123.0219,1052
21.4024,-157.7405,1053
43.1977,-70.8739,1054
36.7151,-79.9153,1055
41.6771,-71.2662,1056
38.3355,-75.084,1057
31.0589,-97.4633,1058
32.5007,-94.7405,1059
32.4488,-81.7832,1060
45.6721,-118.7886,1061
40.4418,-75.3416,1062
47.9929,-122.4175,1063
42.7317,-73.6925,1064
33.7467,-117.8739,1065
45.7096,-122.7073,1066
40.7967,-74.4815,1067
32.3513,-95.3011,1068
26.7084,-80.2306,1069
41.486,-73.0509,1070
42.5673,-79.1126,1071
47.0527,-95.2175,1072
37.9358,-122.3478,1073
38.6785,-121.2257,1074
37.9323,-87.895,1075
42.9981,-78.1875,1076
45.0725,-93.4558,1077
42.2223,-83.3966,1078
36.5332,-82.3268,1079
31.6941,-89.1306,1080
