latitude,longitude,city,state,county,zip_code,fips_code
46.8928,-93.6768,Swatara,MN,Aitkin County,55785,27001
39.3604,-104.5975,Elizabeth,CO,Elbert County,80107,08039
42.8864,-78.8779,Buffalo,NY,Erie County,14202,36029
45.864,-122.8065,Saint Helens,OR,Columbia County,97051,41009
44.0247,-88.5426,Oshkosh,WI,Winnebago County,54901,55139
34.824,-89.9937,Hernando,MS,Desoto County,38632,28033
40.9257,-73.1409,Stony Brook,NY,Suffolk County,11790,36103
42.5973,-82.878,Mount Clemens,MI,Macomb County,48043,26099
39.8178,-84.9964,Centerville,IN,Wayne County,47330,18177
41.4988,-72.9001,Cheshire,CT,New Haven County,06410,09009
34.4214,-119.7008,Santa Barbara,CA,Santa Barbara County,93101,06083
47.5002,-111.3008,Great Falls,MT,Cascade County,59405,30013
32.3187,-106.77,Las Cruces,NM,Doña Ana County,88001,35013
38.7525,-121.2894,Roseville,CA,Placer County,95678,06061
32.8423,-104.4033,Artesia,NM,Eddy County,88210,35015
45.4457,-122.6334,Portland,OR,Clackamas County,97222,41005
37.7272,-89.2167,Carbondale,IL,Jackson County,62902,17077
42.5581,-71.2697,Billerica,MA,Middlesex County,01821,25017
33.8339,-118.342,Torrance,CA,Los Angeles County,90503,06037
35.0867,-89.81,Germantown,TN,Shelby County,38138,47157
33.037,-117.292,Encinitas,CA,San Diego County,92024,06073
40.2209,-74.759,Trenton,NJ,Mercer County,08608,34021
35.3732,-119.0187,Bakersfield,CA,Kern County,93301,06029
37.334,-121.891,San Jose,CA,Santa Clara County,95113,06085
30.1591,-85.6603,Panama City,FL,Bay County,32401,12005
42.4275,-71.0727,Malden,MA,Middlesex County,02148,25017
39.9613,-82.9991,Columbus,OH,Franklin County,43215,39049
35.042,-89.6645,Collierville,TN,Shelby County,38017,47047
31.1171,-97.7278,Killeen,TX,Bell County,76541,48027
43.8014,-91.2395,La Crosse,WI,La Crosse County,54601,55063
33.3768,-79.2945,Georgetown,SC,Georgetown County,29440,45043
45.3,-122.9722,Newberg,OR,Yamhill County,97132,41005
33.3944,-104.5249,Roswell,NM,Chaves County,88201,35005
40.2143,-77.0086,Mechanicsburg,PA,Cumberland County,17055,42041
27.9095,-82.7873,Largo,FL,Pinellas County,33771,12103
42.6504,-73.7591,Albany,NY,Albany County,12207,36001
27.4989,-82.5748,Bradenton,FL,Manatee County,34205,12081
41.6054,-74.1814,Wallkill,NY,Ulster County,12589,36071
32.7766,-79.9309,Charleston,SC,Charleston County,29401,45019
40.272,-81.8596,Coshocton,OH,Coshocton County,43812,39031
28.8017,-81.7336,Tavares,FL,Lake County,32778,12069
39.0639,-108.5506,Grand Junction,CO,Mesa County,81501,08077
38.7717,-76.0706,Easton,MD,Talbot County,21601,24041
30.6944,-88.0431,Mobile,AL,Mobile County,36602,01097
42.7534,-84.7464,Grand Ledge,MI,Eaton County,48837,26037
39.1857,-78.1633,Winchester,VA,Winchester City,22601,51069
36.9286,-93.928,Monett,MO,Barry County,65708,29009
25.765,-80.1943,Hialeah,FL,Miami-Dade County,33010,12086
38.8839,-75.8267,Denton,MD,Caroline County,21629,24011
